epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1820.43,0.42993,0.71137,0.42146,0.92678,0.56884,0.62361,0.58498,0.51461,0.53591,0.57522,0.53092,0.46237,0.72516,2.6966,1.32182,1.05843,0.0006395,0.0006395,0.0006395
76,1843.57,0.44627,0.71397,0.43104,0.93251,0.58031,0.59259,0.5805,0.50448,0.55614,0.54897,0.52042,0.45792,0.76548,2.36006,1.23711,1.1334,0.00063125,0.00063125,0.00063125
77,1866.69,0.43133,0.7033,0.42096,0.92518,0.5983,0.60585,0.57988,0.50778,0.57041,0.57737,0.53208,0.44524,0.75115,2.57266,1.34273,1.07194,0.000623,0.000623,0.000623
78,1890.06,0.43878,0.69083,0.41833,0.92556,0.5965,0.62623,0.58192,0.50604,0.56442,0.58629,0.52741,0.44011,0.7551,2.62549,1.33949,1.11088,0.00061475,0.00061475,0.00061475
79,1914.16,0.43283,0.68639,0.42019,0.92857,0.60458,0.58317,0.58222,0.51315,0.57768,0.55258,0.5396,0.47211,0.74285,2.40505,1.19492,1.07214,0.0006065,0.0006065,0.0006065
80,1939.43,0.42502,0.65725,0.4257,0.92466,0.60952,0.60739,0.59389,0.52553,0.57811,0.58562,0.54635,0.47863,0.71561,2.44745,1.21611,1.07599,0.00059825,0.00059825,0.00059825
81,1964.13,0.42959,0.68069,0.42714,0.92778,0.60793,0.58548,0.59288,0.52732,0.56527,0.56105,0.54287,0.48084,0.69594,2.34539,1.25233,1.02128,0.00059,0.00059,0.00059
82,1988.85,0.42871,0.66702,0.41653,0.91785,0.55417,0.61622,0.58946,0.52364,0.55492,0.54839,0.55106,0.48259,0.76536,2.35042,1.41077,1.04733,0.00058175,0.00058175,0.00058175
83,2013.71,0.42195,0.67066,0.41263,0.92576,0.57481,0.61193,0.58606,0.49766,0.55117,0.55168,0.51776,0.45283,0.78061,2.3362,1.37242,1.11961,0.0005735,0.0005735,0.0005735
84,2038.07,0.42167,0.64433,0.39967,0.92744,0.58042,0.61752,0.58567,0.51041,0.59353,0.54036,0.54457,0.46942,0.77814,2.45013,1.37129,1.11268,0.00056525,0.00056525,0.00056525
85,2063.35,0.4222,0.64186,0.40164,0.91676,0.57155,0.61523,0.5935,0.52479,0.5427,0.58156,0.53503,0.46889,0.73914,2.59495,1.32653,1.09669,0.000557,0.000557,0.000557
86,2088.26,0.41649,0.65798,0.3984,0.92031,0.62017,0.59186,0.58406,0.51226,0.59015,0.56352,0.52579,0.45549,0.75958,2.65373,1.33179,1.08919,0.00054875,0.00054875,0.00054875
87,2113.17,0.41328,0.63838,0.39951,0.9161,0.60531,0.60444,0.57358,0.50134,0.55644,0.58626,0.51576,0.45188,0.74453,2.32919,1.2984,1.13253,0.0005405,0.0005405,0.0005405
88,2137.96,0.40831,0.6338,0.38976,0.92276,0.61199,0.58301,0.56929,0.49357,0.57042,0.56158,0.52441,0.4529,0.78141,2.4699,1.31846,1.1459,0.00053225,0.00053225,0.00053225
89,2162.55,0.41294,0.66265,0.40016,0.92494,0.61538,0.58423,0.57648,0.50005,0.56976,0.53886,0.51134,0.42979,0.7449,2.58817,1.28945,1.10915,0.000524,0.000524,0.000524
90,2187.76,0.41329,0.66219,0.40466,0.92106,0.58269,0.60557,0.58592,0.51547,0.53399,0.5664,0.52764,0.46289,0.68833,2.5179,1.29395,1.04073,0.00051575,0.00051575,0.00051575
91,2212.43,0.41395,0.6485,0.39861,0.91953,0.56856,0.60328,0.57482,0.50651,0.53571,0.56473,0.52501,0.45719,0.71241,2.49347,1.39175,1.05636,0.0005075,0.0005075,0.0005075
