epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,7056.36,0.53944,0.89569,0.59148,1.0166,0.62952,0.55336,0.58727,0.49403,0.59345,0.51894,0.53439,0.42649,0.71744,2.39844,1.37327,1.02333,0.000907625,0.000907625,0.000907625
85,7133.84,0.52504,0.96952,0.57756,1.01018,0.58363,0.58428,0.5998,0.53048,0.57659,0.54251,0.56193,0.4556,0.58723,1.84729,1.46147,0.89033,0.0009035,0.0009035,0.0009035
86,7206.52,0.5044,0.89382,0.56895,1.00275,0.59378,0.60005,0.58459,0.52363,0.57648,0.57975,0.56204,0.46946,0.5561,1.97311,1.10983,0.86398,0.000899375,0.000899375,0.000899375
87,7279.08,0.52387,0.8786,0.56277,0.99673,0.60016,0.57892,0.5929,0.5026,0.57873,0.55004,0.55898,0.45639,0.69778,2.36297,1.22395,0.97072,0.00089525,0.00089525,0.00089525
88,7351.85,0.51815,0.87606,0.55469,1.00834,0.61625,0.55488,0.59024,0.50472,0.58274,0.52121,0.54578,0.44777,0.6768,1.99186,1.23105,0.9562,0.000891125,0.000891125,0.000891125
89,7425.87,0.51254,0.87147,0.56243,1.01034,0.59784,0.60971,0.59155,0.52113,0.57197,0.58123,0.5449,0.45167,0.60672,2.16282,1.07059,0.90915,0.000887,0.000887,0.000887
90,7499.41,0.51888,0.88735,0.55471,1.00861,0.61106,0.57305,0.59008,0.50709,0.59507,0.55593,0.55631,0.45175,0.6257,2.15305,1.11126,0.92113,0.000882875,0.000882875,0.000882875
91,7572.99,0.51937,0.90426,0.55987,1.00961,0.64157,0.59569,0.61179,0.53093,0.60922,0.57078,0.57724,0.46165,0.62072,2.05793,1.02848,0.88833,0.00087875,0.00087875,0.00087875
92,7646.61,0.50771,0.88984,0.56314,1.00499,0.6258,0.57795,0.60685,0.51684,0.59987,0.53561,0.54659,0.44901,0.68038,2.44202,1.11233,0.98046,0.000874625,0.000874625,0.000874625
93,7729.22,0.50495,0.89888,0.56593,0.99407,0.62525,0.59233,0.62018,0.53916,0.58018,0.57268,0.58054,0.47997,0.64395,2.20046,1.09178,0.94019,0.0008705,0.0008705,0.0008705
94,7814.84,0.50461,0.88977,0.54335,0.98861,0.63743,0.55401,0.61489,0.53148,0.59671,0.51836,0.54892,0.44733,0.643,2.28031,1.17372,0.92479,0.000866375,0.000866375,0.000866375
95,7907.81,0.502,0.89713,0.53232,0.99204,0.60114,0.60032,0.59736,0.5151,0.56899,0.55118,0.56802,0.45704,0.69919,2.26476,1.14121,0.99401,0.00086225,0.00086225,0.00086225
96,7997.21,0.50214,0.88278,0.53274,0.99212,0.62488,0.53345,0.57396,0.49718,0.60407,0.49516,0.53628,0.43729,0.73331,2.38349,1.27056,1.06024,0.000858125,0.000858125,0.000858125
